출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
98,6.8,0,0,0,0,0,0,0,0,0,2,0,6,1,50.0,0,1,100.0,1,33.3,1,100.0,6,4,0,5,3,1,0,0,0,0,39,75.0,0,4,80.0,0,0,14,70.0,2,50.0,12,75.0,25,78.1,7,36.8,16,100.0,16,94.1,0,0.0,1,1,0,0,0,1,23,김태환
11,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,50.0,0,0,0.0,0,0,2,50.0,0,0.0,0,0.0,2,100.0,2,50.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,5,홍성욱
96,7.0,0,1,0,0,0,0,0,0,0,0,0,14,0,0.0,1,3,100.0,3,75.0,0,0.0,5,6,2,3,1,0,1,0,0,0,38,73.0,2,14,87.5,0,0,6,54.6,5,71.4,10,55.6,23,85.2,22,73.3,8,57.1,8,100.0,2,66.7,0,1,0,0,0,1,23,김진수
96,7.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,3,75.0,7,63.6,1,25.0,12,4,3,8,6,0,1,0,0,0,34,87.0,0,2,66.7,0,0,17,81.0,8,72.7,18,94.7,8,88.9,9,64.3,23,100.0,2,100.0,0,0.0,0,1,0,0,0,1,4,박진섭
96,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,66.7,4,66.7,2,66.7,5,4,3,4,5,1,0,0,0,0,41,76.0,0,0,0.0,0,0,15,75.0,4,36.4,23,92.0,14,77.8,12,57.1,28,87.5,1,100.0,1,100.0,0,1,0,0,0,0,4,강의빈
96,6.6,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0,1,33.3,3,60.0,0,0.0,11,8,2,2,3,0,0,0,0,0,49,84.0,0,0,0.0,0,0,22,91.7,17,81.0,20,87.0,12,85.7,8,61.5,38,90.5,3,100.0,0,0.0,1,1,0,0,0,0,20,곽광선
96,7.4,0,2,1,0,0,1,0,1,0,0,4,11,0,0.0,1,3,75.0,0,0.0,0,0.0,5,2,3,4,4,0,0,0,0,0,36,90.0,3,2,66.7,0,0,9,90.0,7,100.0,15,100.0,14,77.8,7,77.8,23,92.0,6,100.0,4,57.1,0,1,0,0,0,1,23,이기제
84,7.2,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,5,55.6,0,0.0,6,1,1,3,6,1,0,1,0,0,24,96.0,0,0,0.0,0,0,11,100.0,10,100.0,9,90.0,5,100.0,2,100.0,22,95.6,0,0.0,0,0.0,0,1,0,0,0,1,15,고명석
96,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,2,100.0,1,50.0,2,66.7,5,3,2,3,4,0,0,2,0,0,33,87.0,0,1,100.0,0,0,14,77.8,8,66.7,20,95.2,5,100.0,7,58.3,23,100.0,3,100.0,0,0.0,0,1,0,0,0,1,4,불투이스
96,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6,60.0,1,100.0,9,6,2,0,0,0,0,0,0,0,64,90.0,0,1,33.3,0,0,21,100.0,23,92.0,25,92.6,16,84.2,14,70.0,48,98.0,2,100.0,0,0.0,0,1,0,0,0,0,3,권완규
