출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
97,7.4,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0.0,2,100.0,4,50.0,0,4,0,11,1,1,1,0,0,0,58,87.0,1,9,81.8,0,0,9,69.2,4,66.7,23,100.0,31,81.6,13,68.4,26,89.7,19,100.0,1,33.3,0,0,0,0,1,1,5,이명주
47,6.2,0,0,0,0,0,0,0,0,0,0,0,5,2,100.0,0,0,0.0,1,50.0,0,0.0,1,1,0,5,1,0,0,1,0,0,20,87.0,1,7,87.5,0,0,0,0.0,0,0.0,9,90.0,11,84.6,3,60.0,3,75.0,14,100.0,1,33.3,1,0,0,0,1,0,24,김진호
47,6.4,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,0,2,100.0,0,0.0,0,0.0,1,1,1,1,0,1,0,4,0,0,6,86.0,0,1,100.0,0,0,2,100.0,0,0.0,1,100.0,5,83.3,0,0.0,1,100.0,5,100.0,0,0.0,0,0,0,0,1,0,5,김대우
97,7.6,0,2,0,0,0,0,0,0,0,3,5,0,0,0.0,1,2,100.0,1,20.0,0,0.0,1,4,3,7,3,0,0,1,0,0,82,88.0,3,12,92.3,0,0,11,73.3,22,84.6,31,86.1,29,93.6,9,50.0,65,97.0,8,100.0,3,33.3,1,0,0,0,1,1,6,신진호
92,7.2,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,1,1,100.0,2,100.0,0,0.0,2,4,1,10,1,0,0,0,0,0,65,92.0,0,2,66.7,0,0,9,75.0,12,92.3,29,93.6,24,88.9,12,80.0,47,94.0,6,100.0,0,0.0,2,0,0,0,1,1,4,이수빈
97,7.0,1,0,2,1,1,0,2,0,1,0,1,0,0,0.0,1,1,20.0,1,25.0,0,0.0,0,0,0,7,0,0,1,1,1,0,29,88.0,0,7,87.5,0,0,4,100.0,1,50.0,3,75.0,25,92.6,0,0.0,16,88.9,13,100.0,0,0.0,0,0,0,0,1,1,11,고영준
97,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0,2,40.0,0,0.0,1,1,2,4,3,0,1,0,0,0,32,89.0,0,6,75.0,0,0,2,100.0,6,85.7,6,75.0,20,95.2,3,75.0,23,88.5,6,100.0,0,0.0,0,0,0,0,1,0,4,서민우
98,7.8,0,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0,1,100.0,0,0.0,3,60.0,4,3,1,7,2,0,1,2,0,0,71,93.0,1,6,100.0,0,0,19,86.4,2,40.0,20,95.2,49,98.0,23,82.1,24,100.0,24,100.0,0,0.0,0,0,0,0,1,1,72,이청용
88,7.4,1,0,1,1,0,0,0,1,0,1,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,3,1,4,6,1,2,1,3,0,0,42,93.0,1,11,100.0,0,0,11,91.7,3,100.0,17,100.0,22,88.0,15,88.2,13,100.0,14,93.3,0,0.0,1,0,0,0,1,1,8,아마노 준
79,6.2,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,1,0,0.0,1,33.3,0,0.0,0,2,1,6,4,2,0,0,0,0,35,85.0,0,17,89.5,0,0,6,85.7,0,0.0,5,71.4,30,88.2,8,66.7,8,88.9,19,95.0,0,0.0,0,0,0,0,1,0,27,안태현
